Id,Name,NPSP_ID__c,SWSHE_Service__c
0jhRT0000000PheYAE,Basic Needs,,
0jhRT0000000PhoYAE,Care Coordination,,
0jhRT0000000PhdYAE,Case Management,,
0jhRT0000000PhrYAE,Clinical Counseling,,
0jhRT0000000PhmYAE,Community Outing,,
0jhRT0000000YOHYA2,Diag BT,,
0jhRT0000000PhaYAE,Education,,
0jhRT0000000PhhYAE,Education Referral,,
0jhRT0000000PhbYAE,Employment,,
0jhRT0000000TTRYA2,External Referral,,
0jhRT0000000PhnYAE,Family Reunification,,
0jhRT0000000PhkYAE,Goal Setting,,
0jhRT0000000TTTYA2,Group,,
0jhRT0000000PhlYAE,Group Session,,
0jhRT0000000PhZYAU,Housing,,
0jhRT0000000PhjYAE,Housing Navigation,,
0jhRT0000000TTUYA2,Housing Support,,
0jhRT0000000PhfYAE,Meal,,
0jhRT0000000PhsYAE,Peer Clinical,,
0jhRT0000000TTSYA2,Peer Support,,
0jhRT0000000PhiYAE,Physical Health Referral,,
0jhRT0000000PhqYAE,Police Intervention,,
0jhRT0000000PhgYAE,Social/Emotional,,
0jhRT0000000PhcYAE,Social/Emotional,,
0jhRT0000000PhpYAE,Transportation Assistance,,
