"Name","SWSHE_Service__c","ProcessType","UnitofMeasureId"
"Basic Needs","","ProgramManagement","0hEVY00000002GU2AY"
"Care Coordination","","ProgramManagement","0hEVY00000002GM2AY"
"Community Outing","","ProgramManagement","0hEVY00000002GZ2AY"
"Diag BT","","ProgramManagement","0hEVY00000002GO2AY"
"Education Referral","","ProgramManagement","0hEVY00000002GZ2AY"
"External Referral","","ProgramManagement","0hEVY00000002GY2AY"
"Family Reunification","","ProgramManagement","0hEVY00000002GM2AY"
"Goal Setting","","ProgramManagement","0hEVY00000002GZ2AY"
"Group","","ProgramManagement","0hEVY00000002GT2AY"
"Group Session","","ProgramManagement","0hEVY00000002GZ2AY"
"Housing Support","","ProgramManagement","0hEVY00000002GZ2AY"
"Meal","","ProgramManagement","0hEVY00000002GV2AY"
"Peer Support","","ProgramManagement","0hEVY00000002GZ2AY"
"Physical Health Referral","","ProgramManagement","0hEVY00000002GZ2AY"
"Police Intervention","","ProgramManagement","0hEVY00000002GM2AY"
"Transportation Assistance","","ProgramManagement","0hEVY00000002GX2AY"
