"Name","Type","UnitCode","Description"
"Bed Night","Number","BED_NIGHT","Bed Night"
"Case Mgmt Hour","Number","CM_HOUR","Case Mgmt Hour"
"Completion","Number","COMPLETION","Completion"
"Diag UoM","Period","DIAG1777832676019",""
"Drop-in Day","Number","DROPIN_DAY","Drop?in Day"
"Encounter","Period","ENCOUNTER",""
"Enrollment","Number","ENROLLMENT","Enrollment"
"Gift Card","Number","GIFT_CARD","Gift Card"
"Group Hour","Number","GROUP_HOUR","Group Hour"
"Kit","Number","KIT","Kit"
"Meal","Number","MEAL","Meal"
"Minute","Number","MINUTE","Minute"
"Pass","Number","PASS","Pass"
"Referral","Number","REFERRAL","Referral"
"Session","Number","SESSION","Session"
"Voucher","Number","VOUCHER","Voucher"
